username,repo_name,stars,url
ovity,octotree,21600,https://github.com/ovity/octotree
gitpod-io,gitpod,5600,https://github.com/gitpod-io/gitpod
danger,danger,4600,https://github.com/danger/danger
reviewdog,reviewdog,4300,https://github.com/reviewdog/reviewdog
danger,danger-js,4000,https://github.com/danger/danger-js
joho,awesome-code-review,3100,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
ajinabraham,nodejsscan,1800,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1800,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1700,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1400,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,999,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,999,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,962,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,812,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,674,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,561,https://github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,424,https://github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,421,https://github.com/palantir/policy-bot
bsamseth,cpp-project,416,https://github.com/bsamseth/cpp-project
mookid,diffr,383,https://github.com/mookid/diffr
mgreiler,code-review-checklist,336,https://github.com/mgreiler/code-review-checklist
sjparkinson,static-review,328,https://github.com/sjparkinson/static-review
dpnishant,raptor,325,https://github.com/dpnishant/raptor
burrito-brothers,shiba,286,https://github.com/burrito-brothers/shiba
charignon,github-review,252,https://github.com/charignon/github-review
src-d,lookout,143,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,139,https://github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,133,https://github.com/thesp0nge/owasp-orizon
