username,repo_name,stars,url
localstack,localstack,35900,https://github.com/localstack/localstack
drone,drone,24100,https://github.com/drone/drone
jenkinsci,jenkins,18000,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12000,https://github.com/auchenberg/volkswagen
openshift,origin,8000,https://github.com/openshift/origin
gocd,gocd,6300,https://github.com/gocd/gocd
concourse,concourse,6000,https://github.com/concourse/concourse
theonedev,onedev,4700,https://github.com/theonedev/onedev
buildbot,buildbot,4700,https://github.com/buildbot/buildbot
Strider-CD,strider,4500,https://github.com/Strider-CD/strider
gaia-pipeline,gaia,4500,https://github.com/gaia-pipeline/gaia
jenkins-x,jx,4000,https://github.com/jenkins-x/jx
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
xcpretty,xcpretty,3700,https://github.com/xcpretty/xcpretty
ovh,cds,3600,https://github.com/ovh/cds
cake-build,cake,3100,https://github.com/cake-build/cake
iterative,cml,2700,https://github.com/iterative/cml
werf,werf,2700,https://github.com/werf/werf
ligurio,awesome-ci,2700,https://github.com/ligurio/awesome-ci
tox-dev,tox,2500,https://github.com/tox-dev/tox
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
TheLartians,ModernCppStarter,2300,https://github.com/TheLartians/ModernCppStarter
dreamans,syncd,2000,https://github.com/dreamans/syncd
houndci,hound,1900,https://github.com/houndci/hound
shivammathur,setup-php,1800,https://github.com/shivammathur/setup-php
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1500,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1300,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,1300,https://github.com/FlowCI/flow-core-x
k1LoW,tbls,1200,https://github.com/k1LoW/tbls
